New Dietary Ingredient Notification #,New Dietary Ingredient Report # Regulations.gov,Name of New Dietary Ingredient,Firm,Date of Submission,Date of FDA's   Response  
64,Rpt/NDI 55,Huperzine A,Solgar Vitamin and Herb,9/30/1999,10/1/1999
65,Rpt/NDI 56,"Respivax (killed and freeze-dried lysates and bacterial bodies of Streptocococcus pneumoniae, Neisseria catarrhalis, Streptococcus pyogenes, Haemophilus influenzae, Staphylococcus aureus, and Klebsiella pneumoniae)","Biocare medical Technology, LLC on behalf of N/A/T/O",10/4/1999,11/15/1999
66,Rpt/NDI 57,Siraita Groxvenori (Lo Han Kuo),Nature's Marvel International,10/6/1999,10/8/1999
67,Rpt/NDI 58,Huperzine A,Pharmavite Corporation,11/17/1999,11/19/1999
68,Rpt/NDI 59,L-Se-methylselenocysteine (SeMC),"PharmaSe, Inc.",10/20/1999,11/12/1999
69,Rpt/NDI 60,Leci-GHA (choline alfoscerate-enriched phospholipid),"Lucas Meyer, Inc.",9/20/1999,12/3/1999
70,Rpt/NDI 59,L-Se-methylselenocysteine (SeMC) ,"PharmaSe, Inc. ",5/14/1999,1/19/2000
71,Rpt/NDI 61,Humifulvate (humic acid),"Corvina Natural Products, Inc.",1/11/2000,2/25/2000
72,Rpt/NDI 62,Vincamine,General Nutrition Corporation,1/20/2000,4/3/2000
73,Rpt/NDI 63,D-Ribose ,Leiner Health Products,1/21/2000,1/24/2000
74,Rpt/NDI 64,"Cornus officinalis, Cuscuta epithymum, ground antelope horn, ground tortoise shell, Lygodium japonicum, Proia cocos, Radix Astragali, Radix Rehmanniae, Rehmannia glutinose, Chinese Foxglove Root",Mr. Gongjun Ji,2/20/2000,2/25/2000
75,Rpt/NDI 65,Haematococcus pluvialis algae,"Aquasearch, Inc.",2/22/2000,3/3/2000
76,Rpt/NDI 66,S-adenosylmethionine (SAMe),Leiner Health Products,3/16/2000,3/22/2000
77,Rpt/NDI 67,Troxerutin,"Nutratech, Inc.",3/27/2000,6/9/2000
78,Rpt/NDI 68,Diosmin (contains 90% diosmin & 10% hesperidin) (bioflavonoid derived from hesperidin),"Nutratech, Inc.",4/5/2000,6/16/2000
79,Rpt/NDI 69,Kalanchoe pinnata & Ruta chalepensis,"Isula Rain, Inc.",4/19/2000,6/29/2000
80,Rpt/NDI 71,Acicarpha tribuloides plus 15 other botanicals.,"Isula Rain, Inc.",4/21/2000,6/29/2000
81,Rpt/NDI 72,Ellaginol ,"Audax, Inc. Pharmaceuticals",4/27/2000,7/10/2000
82,Rpt/NDI 73,ProenOthera™ from Oenthera biennis,Humanetics Corporation,4/27/2000,7/10/2000
83,Rpt/NDI 74,Phaffia rhodozyma ,"Igene Biotechnology, Inc.",5/4/2000,7/17/2000
84,Rpt/NDI 75,Huperzine A ,NOW Foods,5/23/2000,6/30/2000
85,Rpt/NDI 76,Agaricus blazei,"Iwade Research Institute of Mycology Co., Ltd.",5/23/2000,8/4/2000
86,Rpt/NDI 77,Tree oil phytosterols,"Novartis Consumer Health, Inc.",6/19/2000,8/30/2000
87,Rpt/NDI 78,Lactobacillus reuteri (strain ATCC 55730),McNeil Consumer Healthcare,7/6/2000,9/18/2000
88,Rpt/NDI 79,Cotinine,"Pharmaco Behavioral Associates, Inc.",8/4/2000,10/17/2000
89,Rpt/NDI 80,Troxerutin,"Nutratech, Inc.",8/7/2000,10/17/2000
90,Rpt/NDI 81,Zeaxanthin,Roche Vitamins Inc.,8/8/2000,10/19/2000
91,Rpt/NDI 82,Fucoidan,"Ocean Treasure Foods, Inc.",8/17/2000,10/30/2000
92,Rpt/NDI 78,Lactobacillus reuteri (strain ATCC 55730) Amendment ,McNeil Consumer Healthcare,10/2/2000,10/3/2000
93,Rpt/NDI 83,Diosmin Complex,"Nutratech, Inc.",8/21/2000,11/3/2000
99,Rpt/NDI 84,GMM (Glucose Metabolism Modulator),VanDrunen Farms/VDF FutureCeuticals,9/6/2000,11/20/2000
100,Rpt/NDI 85,Resveratrol,Solgar Vitamin and Herb,9/13/2000,11/27/2000
101,Rpt/NDI 86,Heme Iron Polypeptide (HIP) ,"Colorado Biolabs, Inc.",10/17/2000,12/6/2000
102,Rpt/NDI 87,Calcium salt of L-5-methyltetra-hydrofolate (L-5-methyl-THF) ,Merck KGaA,10/12/2000,12/26/2000
103,Rpt/NDI 88,Type II Collagen ,AutoImmune Inc.,11/20/2000,2/6/2001
105,Rpt/NDI 89,Isoquercetin ,Merck KGaA,12/28/2000,3/22/2001
106,Rpt/NDI 90,Salacia oblonga (Celastraceae) extract,"NutriScience Inovations, LLC",12/22/2000,3/7/2001
108,Rpt/NDI 91,Humifulvate ,"Corvina Natural Products, Inc.",12/6/2000,1/24/2001
109,Rpt/NDI 92,S-adenosylmethionine (SAMe) ,Pharmavite Corporation,2/8/2001,5/10/2001
110,Rpt/NDI 93,N-Acetyl-L-Hydroxyproline (AHYP) ,"Kyowa Hakko USA., Inc.",1/9/2001,4/24/2001
111,Rpt/NDI 94,Vitalaxin and Biolaxin,"Sky BioHealth  Solutions,  Inc.",12/2/2001,3/6/2001
112,Rpt/NDI 95,Calcium salt of L-5-methyltetra-hydrofolate (L-5-methyl-THF),Merck KGaA,3/13/2001,5/23/2001
114,Rpt/NDI 96,Zeaxanthin ,Roche Vitamins Inc.,3/22/2001,6/13/2001
115,Rpt/NDI 97,L-Se-methylselenocysteine (SeMC),"PharmaSe, Inc.",5/14/2001,7/27/2001
118,Rpt/NDI 98,Kombu Fucoidan (extract of the brown seaweed Kjellmaniella crassifolia) ,"Takara Shuzo Co., Ltd.",7/16/2001,10/25/2001
119,Rpt/NDI 99,Hirudo powder ,Wealth Express Industrial Ltd.,7/11/2001,10/19/2001
120,Rpt/NDI 100,Crossential SA14 (a pure triglyceride extracted from the seeds of the Echium plantagineum plant) ,Bioriginal Food and Science Corp.,8/15/2001,8/16/2002
121,Rpt/NDI 101,Trans-Resveratrol (the root extract of Polygonum cuspidatum Siebold & Zucc.) (Protykin® RSV-5000 powder),"InterHealth Neutraceuticals, Inc.",9/13/2001,8/16/2002
125,Rpt/NDI 102,L-Se-methylselenocysteine (SeMC) ,"PharmaSe, Inc.",10/10/2001,11/28/2001
126,Rpt/NDI 103,Agaro-oligosaccharide,"Takara Shuzo Co., Ltd.",10/18/2001,12/31/2001
127,Rpt/NDI 104,Phytic hexacitrate (a complex of phytic acid and citric acid),Scientific Medical Devices Inc.,11/1/2001,8/23/2002
128,Rpt/NDI 105,"Digacid HB™ (contains: Phyllanthus emblica, Terminalia chebula, Terminalia belerica, Amomum aromaticum, Cuminum cyminum, Curcuma aromatica, Aegle marmelos, Wedelia calendula, Syzgium aromaticum, and rock salt)","AlphaNatural, Inc.",11/9/2001,8/27/2002
129,Rpt/NDI 106,African Ginger [Siphonochilus aethiopicus (Schweinf.) B.L. Burtt] (African Ginger: roots and rhizomes),Power Africa Inc,11/27/2001,2/8/2002
130,Rpt/NDI 107,African Potato [Hypoxis hemerocallidea Fisch. & C.A. Mey.] (African Ginger: roots and rhizomes),Power Africa Inc,11/27/2001,2/8/2002
131,Rpt/NDI 108,Sutherlandia [Sutherlandia frutescens (L.) R.Br. or Sutherlandia microphyllia Burchell ex DC.] (African Ginger: roots and rhizomes),Power Africa Inc,11/27/2001,2/8/2002
132,Rpt/NDI 109,Warburgia [Warburgia salutaris (Bertol. f.) Chiov.] (African Ginger: roots and rhizomes),Power Africa Inc,11/27/2001,2/8/2002
133,Rpt/NDI 110,DHA GOLD® Golden Algae ,"OmegaTech, Inc.",12/13/2001,9/5/2002
134,Rpt/NDI 111,Monacolin 8000F (derived from the fungus Monascus pilosus),"Soft Gel Technologies, Inc",12/28/2001,3/22/2002
135,Rpt/NDI 112,L-Se-methylselenocysteine (SeMC) ,"PharmaSe, Inc.",1/9/2002,3/25/2002
136,Rpt/NDI 113,"Nutrichol (the dried powder or extract of the pulverized seeds of the Persea americana, or avocado fruit)","Tech for Life, Inc.",1/16/2002,3/29/2002
137,Rpt/NDI 49,Agaricus blazei Murrill (Himematsutake extract),"Iwade Research Institute of Mycology Co., Ltd.",2/4/2002,4/5/2002
138,Rpt/NDI 114,BioDiamed™ (Momordica charantia L. -Makiling v. pure leaf powder),Kelatron Corporation,2/11/2002,4/26/2002
139,Rpt/NDI 115,BioDiamend™ (Lagerstroemia specious L. pure leaf powder) ,Kelatron Corporation,2/11/2002,4/26/2002
140,Rpt/NDI 116,BioRenal™ (Blumea balsamifera L. pure leaf powder),Kelatron Corporation,1/3/2002,4/26/2002
141,Rpt/NDI 117,BioVitaflu /BioVitabronch™ (Vitex negundo L. pure leaf powder),Kelatron Corporation,1/3/2002,4/26/2002
142,Rpt/NDI 118,Heliopsis longipes S.F. Blake (Asteraceae) or Gold Root Extract,"PHYTOS, Inc",2/12/2002,4/30/2002
143,Rpt/NDI 119,Astaxanthin extracted from Haematococcus pluvialis algae,"Micro Gaia, Inc.",3/7/2002,5/21/2002
144,Rpt/NDI 120,Hirudo powder ,Wealth Express Industrial Ltd.,3/11/2002,5/24/2002
145,Rpt/NDI 121,Cordyceps sinensis mycelia (TSC Bio-nature Cordyceps sinensis mycelia),"Premiere Towa, Inc.",3/13/2002,5/1/2002
146,Rpt/NDI 122,La Mila capsule 270 mg (Labisia pumila F. Vill),Herbal Powers Inc,3/18/2002,5/31/2002
147,Rpt/NDI 123,El Jack capsule 290 mg (Eurycoma longifolia Jack),Herbal Powers Inc,3/18/2002,5/31/2002
148,Rpt/NDI 124,Yamoa™ Powder (the bark of Funtumia elastica of the Apocynaceae family) ,"The Remedy Company, Inc.",3/18/2002,5/31/2002
149,Rpt/NDI 125,NKCP (a nattokinase-containing substance),"LaneLabs-USA, Inc.  ",3/28/2002,6/11/2002
150,Rpt/NDI 126,"Healthy Respiration— Honey Suckle, Farsythio & Root of Skullcap ",American Research Institute of World Traditional Medicine,4/4/2002,6/20/2002
151,Rpt/NDI 127,Lactobacillus delbrueckii subsp. bulgaricus lysate,Pure Research Products Naturally LLC,4/16/2002,6/28/2002
152,Rpt/NDI 128,Iron Aid™ (an iron-protein complex consisting of ferric iron (5% elemental iron) wrapped in milk casein) (IPS) or ITF 282)),"Chemi Nutraceuticals, Inc",4/29/2002,6/12/2002
153,Rpt/NDI 129,Ganoderma lucidum Spore Powder (Shell-Broken),Herbs Generation International Limited,4/29/2002,7/12/2002
154,Rpt/NDI 130,HiDHA® Tuna Oil ,Clover Corporation Limited,4/8/2002,7/23/2002
155,Rpt/NDI 131,Neptune Krill Oil™ (Krill oil),Neptune Technologies and Bioresources,3/13/2002,10/4/2002
156,Rpt/NDI 132,Neptune Aquateine™ (Krill-based protein concentrate powder of the dry residue from the extraction of oil) ,Neptune Technologies and Bioresources,3/13/2002,10/4/2002
157,Rpt/NDI 133,Neptune LyO-Krill™ (freeze-dried Krill),Neptune Technologies and Bioresources,3/13/2002,10/4/2002
158,Rpt/NDI 134,Zinc carnosine ,"Lonza, Inc.",5/14/2002,7/23/2002
159,Rpt/NDI 135,Desmodium adscendens Swartz,Biodynamics Nv,5/31/2002,4/3/2003
160,Rpt/NDI 162,Conjugated linoleic acid (CLA) (Tonalin™),Natural ASA,6/17/2002,7/30/2002
161,Rpt/NDI 136,Dried cultured mycelia of Cordyceps sinensis (Berk.) Sacc. ,Homegi Biotech International Corp.,4/11/2002,8/29/2002
162,Rpt/NDI 137,Momordica charantia L. ,"Trinity International, LLC",7/1/2002,9/12/2002
163,Rpt/NDI 138,Cordyceps sinensis [(Berk.) Saccardo] mycelia (Taisugar Cordyceps sinensis mycelia),"Premiere Towa, Inc.",7/9/2002,9/20/2002
164,Rpt/NDI 139,Sheep Placenta ,Yat Chau (USA) Inc.,7/10/2002,9/23/2002
165,Rpt/NDI 140,Eicosapentaenoic Acid (EPA) and Docosahexaenoic Acid (DHA) [Ginseng Fish Oil],Yat Chau (USA) Inc.,7/10/2002,9/23/2002
166,Rpt/NDI 141,Eicosapentaenoic Acid (EPA) and Docosahexaenoic Acid (DHA) [Omega-3 Alaska Deep Sea Fish Oil],Yat Chau (USA) Inc.,7/10/2002,9/23/2002
167,Rpt/NDI 142,Egg Lecithin ,"Belovo, Inc.",7/15/2002,10/17/2002
168,Rpt/NDI 143,Liquid Gold Root Extract (LGRE) Liquid extract of the root of the Mexican plant Heliopsis longipes S.F. Blake (Asteraceae),"PHYTOS, Inc",6/13/2002,9/26/2002
169,Rpt/NDI 144,Lactobacillus delbrueckii subsp. bulgaricus lysate (Del-Immune™),Pure Research Products Naturally LLC,7/16/2002,8/15/2002
170,Rpt/NDI 145,"Neptune Krill Euphausia™ (formerly known as Neptune Krill Enzyme™) (derived from Antarctic Krill, Euphausia superba)",Neptune Technologies and Bioresources,6/17/2002,10/4/2002
171,Rpt/NDI 146,N-acetylserotonin (Normelatonin),Heartmind Nutrition,7/26/2002,10/4/2002
172,Rpt/NDI 147,Echium plantagineum Seed Oil (extracted from the seeds of Echium plantagineum L.) (Crossential SA14),Pharmax LLC,5/15/2002,10/9/2002
173,Rpt/NDI 148,3-Acetyl-7-Oxo-Dehydroepiandrosterone (7-Keto™ DHEA),Perrigo Company,7/29/2002,10/4/2002
174,Rpt/NDI 149,Pueraria mirifica (Pueraria mirifica Airy Shaw & Suvatabandhu),Triarco Industries,8/9/2002,10/22/2002
175,Rpt/NDI 150,"Luteolin (3’, 4’, 5,7-tetrahydroxyflavone)","Synorx, Inc.",8/13/2002,10/25/2002
176,Rpt/NDI 151,Oculax™ (several herbal ingredients),Yat Chau (USA) Inc.,8/14/2002,10/23/2002
177,Rpt/NDI 152,"Golden Phoenix (an extract from the herb, Trifolium pratense L.)","Hounghwa Global, Inc.",8/26/2002,11/6/2002
179,Rpt/NDI 153,Uridine,Amino GmbH,8/30/2002,11/8/2002
181,Rpt/NDI 154,Creatine ethyl ester HCL and Creatine ethyl ester bisulfate (Cre-Ester),"Pro-Nutrient Technologies, Inc.",9/10/2002,11/22/2002
183,Rpt/NDI 155,Geranti Bio-Ge (bio-germanium yeast),Geranti Pharm LTD,8/30/2002,11/13/2002
184,Rpt/NDI 156,Extract of algae Padina pavonica (algae),Advanced Nutraceutical Concepts,11/21/2002,2/25/2003
185,Rpt/NDI 163,Sesamin (SesaminE™),"Suntory, Ltd.",12/27/2002,5/12/2003
186,LET 10,Dried mushroom or extract of Agaricus blazei Murrill,"Iwade Research Institute of Mycology Co., Ltd.",2/27/2003,5/22/2003
187,Rpt/NDI 157,"Healthy Respiration - Honey Suckle, Forsythio & Root of Skullcap",American Research Institute of World Traditional Medicine,11/26/2002,2/25/2003
189,Rpt/NDI 158,Idebenone,"Threshold Enterprises, Ltd.",12/2/2002,2/14/2003
191,Rpt/NDI 167,Trifolium pratense L.,"Hounghwa Global, Inc.",1/21/2003,4/2/2003
192,Rpt/NDI 159,"Abies webbiana, Adhatoda vasica, Zingiber officinale, Piper longum, Piper nigrum, Cinnamomum zeylanicum, Ammonum subulatum, and Nisadal (Asmakure)",Port Orchard Nutraceuticals,12/9/2002,3/13/2003
193,Rpt/NDI 160,"Hemidesmus Indicus (Anantamul), Ricinus communis (Shetverenda), Moringa Pterygosperma (Sajina), Tinospora Cordifolia (Gulancha), and Boerhaavia Diffusa (Rakta Punamaba) (Panekure™)",Port Orchard Nutraceuticals,1/21/2003,3/13/2003
194,Rpt/NDI 161,Nano-Se,Nano Port (USA) Inc.     ,12/19/2002,3/19/2003
196,Rpt/NDI 164,"PG102 (concentrated water extract powder of the dried hardy kiwi fruit, Actinidia arguta)","PanGenomics, Inc",12/31/2002,3/14/2003
197,Rpt/NDI 168,"VasoCleaner™ (Radix Ginseng (Ginseng root),  Radix Polygoni Multiflori (Fleece flower root) Crataegi Fructus (Crataegus hawthorn fruit), Radix et Rhizoma Rhei (Rubarb root and rhizome), Pollen Typhae (Cattail pollen, buhush), Resina Ferulae (Chinese asafetida), and Sargassum (Seaweed))",Pan Vital Inc,1/22/2003,4/7/2003
198,Rpt/NDI 171,"Lactobacillus plantarum (ATCC 202195 strain) and Fructooligosaccharide (FOS) (GastroPlan™, GastroPlan-C  & GastroPlan-CF™)",Krupps International,2/4/2003,4/15/2003
199,Rpt/NDI 165,"an extract from the mushroom Ganoderma lucidum (Ganoderma™ Capsules, Excellium™ Capsules, Garcinia™ Capsules, and Sakanno™ Capsules) ",Gano Excel (USA) Inc.,1/17/2003,4/2/2003
200,Rpt/NDI 169,Humifulvate,Humet Plc.,1/30/2003,4/15/2003
201,Rpt/NDI 150,"3’4’ 5,7-tetrahydroxyflavone (Luteolin) (Lutimax)","Synorx, Inc.",1/17/2003,4/2/2003
202,Rpt/NDI 170,Desmodium adscendens D.C.,Biodynamics Nv,1/31/2003,4/15/2003
203,Rpt/NDI 172,Extract of Chrysanthellum americanum (L.) Vatke extract,PhytoMedica LLC,2/4/2003,4/21/2003
204,Rpt/NDI 173,Ganoderma lucidum spore powder (Lingzhi Master),Care & Health Limited,2/5/2003,4/21/2003
205,Rpt/NDI 174,Fitovit,"EGN Pharma, Inc.",2/21/2003,5/12/2003
206,Rpt/NDI 175,"MS-20, extract of proprietary fermented soybeans (NK Activator)","MicroBio, LTD",2/21/2003,5/12/2003
207,Rpt/NDI 176,N-Acetyl-L-Hydroxyproline (AHYP),"Kyowa Hakko USA., Inc.",2/21/2003,5/6/2003
208,Rpt/NDI 177,"Cumaris, combination of powdered extracts of Rhizoma Chuanxiong, Radix Angelicae Dahuriace and Imperatorin ",Hi-Tech Pharma Inc.,2/24/2003,5/5/2003
209,Rpt/NDI 178,"Tsygapan, reindeer antler powder",Exceeding Corporation,2/24/2003,5/12/2003
210,Rpt/NDI 179,"Shea Butter extract, 50% unsaponifiable matter, from nut of Butyrospermum parkii Kotschy tree (BSP-201)",BSP Pharma A/S ,3/7/2003,5/12/2003
211,Rpt/NDI 223,"Shea Butter extract, 80% unsaponifiable matter, from nut of Butyrospermum parkii Kotschy tree (SheaNature)",BSP Pharma A/S ,3/7/2003,5/12/2003
212,Rpt/NDI 180,Panax notoginseng (sanqui),Cyber Store LLC,3/7/2003,5/12/2003
213,Rpt/NDI 188,"Fructose 1,6 diphosphate  ","AHD International, LLC",4/18/2003,5/23/2003
216,Rpt/NDI 181,Benfotiamin,"Advanced Orthomolecular Research, Inc.",3/14/2003,5/20/2003
217,Rpt/NDI 182,Uridine,Amino GmbH,3/14/2003,5/29/2003
218,Rpt/NDI 183,7-hydroxymatairesinol (HMR),Hormos Nutraceutical Oy Ltd.,3/19/2003,5/23/2003
219,Rpt/NDI 184,Guatteria Gaumeri (Yumel),Mark Weiner,3/14/2003,5/23/2003
220,Rpt/NDI 185,Ganoderma Lucidum capsule,"Atlantic Medical Health Care, Inc.",3/26/2003,6/10/2003
223,Rpt/NDI 186,Hoodia gordonii extract (TrimSpa),Goen Technologies Corporation,4/4/2003,6/19/2003
224,Rpt/NDI 187,Bactris balanoidea (Bactris balanoidea herbal dietary supplement),Co-Creations,4/4/2003,6/25/2003
225,Rpt/NDI 189,Conjugated Linoleic Acid (Clarinol A-80 or Clarinol G-80),Loders Croklaan B.V.,4/23/2003,7/8/2003
226,Rpt/NDI 190,Creatine ethyl ester HCL and Creatine ethyl ester bisulfate (Cre-Ester),"Pro-Nutrient Technologies, Inc.",7/11/2003,9/26/2003
229,Rpt/NDI 191,Spermine and Spermidine (Spermelene),Nokomis Research Inc.,5/5/2003,7/18/2003
230,Rpt/NDI 192,Beta-Hydroxy-beta-methylbutyrate (HMB)-L-arginine,"JNC NutraChem, Inc.",5/5/2003,7/18/2003
